"","year","wave","us_regular","east_coast_regular","new_england_regular","central_atlantic_regular","lower_atlantic_regular","gulf_coast_regular","fl_regular","ma_regular","ny_regular","tx_regular"
"110",2009,4,2.57644444444444,2.55944444444444,2.61233333333333,2.61055555555556,2.50522222222222,2.439,2.55488888888889,2.55144444444444,2.76744444444444,2.43477777777778
"111",2010,4,2.72933333333333,2.66266666666667,2.72944444444444,2.70144444444444,2.61388888888889,2.57977777777778,2.64822222222222,2.66755555555556,2.85044444444444,2.57644444444444
"112",2011,4,3.64422222222222,3.66144444444444,3.78188888888889,3.69433333333333,3.601,3.51811111111111,3.59377777777778,3.71466666666667,3.87288888888889,3.53311111111111
"113",2012,4,3.56466666666667,3.53044444444444,3.65111111111111,3.59177777777778,3.44822222222222,3.34644444444444,3.445,3.58288888888889,3.75288888888889,3.37766666666667
"114",2013,4,3.58333333333333,3.56844444444444,3.722,3.63833333333333,3.47022222222222,3.40266666666667,3.50066666666667,3.644,3.818,3.44322222222222
"115",2014,4,3.548875,3.527875,3.6655,3.59775,3.435,3.3405,3.399,3.5945,3.77,3.3645
"116",2015,4,2.70611111111111,2.56466666666667,2.63122222222222,2.64766666666667,2.48266666666667,2.39144444444444,2.449,2.59911111111111,2.77444444444444,2.416
"117",2016,4,2.20488888888889,2.13833333333333,2.20211111111111,2.208,2.06711111111111,1.98766666666667,2.08833333333333,2.17211111111111,2.30155555555556,2.002
"118",2017,4,2.33555555555556,2.27911111111111,2.33655555555556,2.40588888888889,2.16722222222222,2.08777777777778,2.19055555555556,2.30555555555556,2.39911111111111,2.09922222222222
"119",2018,4,2.84288888888889,2.78477777777778,2.87822222222222,2.91877777777778,2.67577777777778,2.58933333333333,2.719,2.87166666666667,2.91833333333333,2.596
"120",2019,4,2.68711111111111,2.60211111111111,2.67788888888889,2.76211111111111,2.48233333333333,2.37388888888889,2.48277777777778,2.67877777777778,2.77711111111111,2.39744444444444
"121",2020,4,2.18277777777778,2.10522222222222,2.12011111111111,2.25066666666667,2.01055555555556,1.85833333333333,2.06688888888889,2.09211111111111,2.19177777777778,1.85
"122",1990,5,1.301,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123",1991,5,1.09977777777778,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124",1992,5,1.11775,1.09975,NA,NA,NA,1.101375,NA,NA,NA,NA
"125",1993,5,1.070625,1.047375,1.079125,1.08125,1.027125,1.0655,NA,NA,NA,NA
"126",1994,5,1.127,1.10922222222222,1.14622222222222,1.155,1.08233333333333,1.11144444444444,NA,NA,NA,NA
