"state","variable","value"
"Alabama","2009",37.7
"Alaska","2009",34.1
"California","2009",35
"Connecticut","2009",39.8
"Delaware","2009",38.6
"Florida","2009",40.5
"Georgia","2009",35.1
"Hawaii","2009",38.4
"Louisiana","2009",35.9
"Maine","2009",42.4
"Maryland","2009",37.9
"Massachusetts","2009",38.9
"Mississippi","2009",35.9
"New Hampshire","2009",40.8
"New Jersey","2009",38.8
"New York","2009",37.9
"North Carolina","2009",37.2
"Oregon","2009",38.2
"Rhode Island","2009",39.2
"South Carolina","2009",37.7
"Texas","2009",33.5
"Virginia","2009",37.4
"Washington","2009",37.2
"United States","2010",37.2
"Alabama","2010",37.9
"Alaska","2010",33.8
"California","2010",35.2
"Connecticut","2010",40
"Delaware","2010",38.8
"Florida","2010",40.7
"Georgia","2010",35.3
"Hawaii","2010",38.6
"Louisiana","2010",35.8
"Maine","2010",42.7
"Maryland","2010",38
"Massachusetts","2010",39.1
"Mississippi","2010",36
"New Hampshire","2010",41.1
"New Jersey","2010",39
"New York","2010",38
"North Carolina","2010",37.4
"Oregon","2010",38.4
"Rhode Island","2010",39.4
"South Carolina","2010",37.9
"Texas","2010",33.6
"Virginia","2010",37.5
"Washington","2010",37.3
"United States","2011",37.3
"Alabama","2011",38.1
"Alaska","2011",33.7
"California","2011",35.4
"Connecticut","2011",40.3
"Delaware","2011",39.1
"Florida","2011",41.1
"Georgia","2011",35.6
"Hawaii","2011",38.6
"Louisiana","2011",35.9
"Maine","2011",43.2
"Maryland","2011",38.1
"Massachusetts","2011",39.2
"Mississippi","2011",36.2
"New Hampshire","2011",41.6
"New Jersey","2011",39.1
"New York","2011",38
"North Carolina","2011",37.6
"Oregon","2011",38.6
"Rhode Island","2011",39.6
"South Carolina","2011",38.2
"Texas","2011",33.8
"Virginia","2011",37.5
"Washington","2011",37.4
"United States","2012",37.5
"Alabama","2012",38.3
"Alaska","2012",33.7
"California","2012",35.6
"Connecticut","2012",40.5
"Delaware","2012",39.3
"Florida","2012",41.3
"Georgia","2012",35.8
"Hawaii","2012",38.5
"Louisiana","2012",36
"Maine","2012",43.5
"Maryland","2012",38.2
"Massachusetts","2012",39.3
"Mississippi","2012",36.3
"New Hampshire","2012",42
"New Jersey","2012",39.3
"New York","2012",38.1
"North Carolina","2012",37.9
"Oregon","2012",38.8
"Rhode Island","2012",39.8
"South Carolina","2012",38.4
"Texas","2012",33.9
"Virginia","2012",37.6
"Washington","2012",37.5
"United States","2013",37.6
"Alabama","2013",38.4
"Alaska","2013",33.6
"California","2013",35.8
"Connecticut","2013",40.6
"Delaware","2013",39.5
"Florida","2013",41.5
"Georgia","2013",36
"Hawaii","2013",38.5
"Louisiana","2013",36.1
"Maine","2013",43.8
"Maryland","2013",38.3
"Massachusetts","2013",39.3
"Mississippi","2013",36.5
"New Hampshire","2013",42.4
"New Jersey","2013",39.4
"New York","2013",38.2
"North Carolina","2013",38.1
"Oregon","2013",38.9
"Rhode Island","2013",39.9
"South Carolina","2013",38.6
"Texas","2013",34
"Virginia","2013",37.7
"Washington","2013",37.6
"United States","2014",37.7
