species,year,season,harvest.n
SPANISH MACKEREL,2017,1,6151
SPANISH MACKEREL,2017,2,497
SPANISH MACKEREL,2018,1,5782
SPANISH MACKEREL,2018,2,154
SPANISH MACKEREL,2019,1,2262
SPANISH MACKEREL,2019,2,0
SPOTTED SEATROUT,1983,1,936991
SPOTTED SEATROUT,1984,1,198763
SPOTTED SEATROUT,1984,2,321137
SPOTTED SEATROUT,1985,1,373719
SPOTTED SEATROUT,1985,2,121534
SPOTTED SEATROUT,1986,1,459285
SPOTTED SEATROUT,1986,2,217502
SPOTTED SEATROUT,1987,1,631387
SPOTTED SEATROUT,1987,2,261573
SPOTTED SEATROUT,1988,1,549200
SPOTTED SEATROUT,1988,2,205037
SPOTTED SEATROUT,1989,1,513363
SPOTTED SEATROUT,1989,2,201895
SPOTTED SEATROUT,1990,1,163960
SPOTTED SEATROUT,1990,2,57365
SPOTTED SEATROUT,1991,1,299277
SPOTTED SEATROUT,1991,2,78768
SPOTTED SEATROUT,1992,1,588040
SPOTTED SEATROUT,1992,2,191450
SPOTTED SEATROUT,1993,1,538971
SPOTTED SEATROUT,1993,2,233427
SPOTTED SEATROUT,1994,1,574918
SPOTTED SEATROUT,1994,2,222071
SPOTTED SEATROUT,1995,1,589132
SPOTTED SEATROUT,1995,2,222919
SPOTTED SEATROUT,1996,1,593675
SPOTTED SEATROUT,1996,2,182888
SPOTTED SEATROUT,1997,1,832384
SPOTTED SEATROUT,1997,2,205836
SPOTTED SEATROUT,1998,1,758717
SPOTTED SEATROUT,1998,2,184561
SPOTTED SEATROUT,1999,1,952944
SPOTTED SEATROUT,1999,2,361764
SPOTTED SEATROUT,2000,1,840623
SPOTTED SEATROUT,2000,2,286996
SPOTTED SEATROUT,2001,1,671436
SPOTTED SEATROUT,2001,2,294201
SPOTTED SEATROUT,2002,1,741366
SPOTTED SEATROUT,2002,2,223257
SPOTTED SEATROUT,2003,1,697158
SPOTTED SEATROUT,2003,2,241979
SPOTTED SEATROUT,2004,1,676122
SPOTTED SEATROUT,2004,2,257886
SPOTTED SEATROUT,2005,1,609178
SPOTTED SEATROUT,2005,2,245552
SPOTTED SEATROUT,2006,1,684771
SPOTTED SEATROUT,2006,2,302552
SPOTTED SEATROUT,2007,1,670518
SPOTTED SEATROUT,2007,2,245252
SPOTTED SEATROUT,2008,1,686060
SPOTTED SEATROUT,2008,2,231348
SPOTTED SEATROUT,2009,1,630422
SPOTTED SEATROUT,2009,2,179791
SPOTTED SEATROUT,2010,1,607902
SPOTTED SEATROUT,2010,2,123893
SPOTTED SEATROUT,2011,1,880986
SPOTTED SEATROUT,2011,2,256335
SPOTTED SEATROUT,2012,1,567312
SPOTTED SEATROUT,2012,2,242681
SPOTTED SEATROUT,2013,1,556962
SPOTTED SEATROUT,2013,2,238909
SPOTTED SEATROUT,2014,1,465950
SPOTTED SEATROUT,2014,2,124443
SPOTTED SEATROUT,2015,1,680387
SPOTTED SEATROUT,2015,2,144577
SPOTTED SEATROUT,2016,1,711538
SPOTTED SEATROUT,2016,2,313395
SPOTTED SEATROUT,2017,1,682457
SPOTTED SEATROUT,2017,2,299635
SPOTTED SEATROUT,2018,1,541169
SPOTTED SEATROUT,2018,2,205100
SPOTTED SEATROUT,2019,1,813218
SPOTTED SEATROUT,2019,2,185914
